year	month	day	volume	company
2018	8	29	50	5000349
2018	8	29	0.164	5000350
2018	8	29	120	5000351
2018	8	29	0.845	5000353
2018	8	29	0.264	5000354
2018	8	29	21.1503	5000355
2018	8	29	18	5000356
2018	8	29	0.2421	5000357
2018	8	29	0	5000358
2018	8	29	8.6807	5000359
2018	8	29	4.4775	5000360
2018	8	29	0.7842	5000361
2018	8	29	18.23	5000362
2018	8	29	3.8008	5000363
2018	8	29	12.2954	5000364
2018	8	29	5.9253	5000365
2018	8	29	7.6821	5000366
2018	8	29	6.3273	5000367
2018	8	29	0.5425	5000368
2018	8	29	0.8867	5000369
2018	8	29	0.0302	5000370
2018	8	29	0.131	5000371
2018	8	29	0	5000372
2018	8	29	0.0687	5000373
2018	8	29	1.0003	5000374
2018	8	29	1.5555	5000376
2018	8	29	0	5000377
2018	8	29	0	5000378
2018	8	29	0.5327	5000379
2018	8	29	0.5123	5000380
2018	8	29	2.5601	5000381
2018	8	29	0	5000382
2018	8	29	0.1475	5000383
2018	8	29	0.1644	5000384
2018	8	29	0.1085	5000385
2018	8	29	0.0751	5000386
2018	8	29	45	5000387
2018	8	29	0.1928	5000388
2018	8	29	0.1093	5000389
2018	8	29	5	5000390
2018	8	29	0	5000391
2018	8	29	0	5000398
2018	8	29	3.8673	5000399
2018	8	29	0	5010259
2018	8	29	0.4965	5010260
2018	8	29	0.0464	5010261
2018	8	29	1.0811	5010262
2018	8	29	0.399	5010263
2018	8	29	0.5164	5010264
2018	8	29	0.7513	5010265
2018	8	29	21	5010266
2018	8	29	0.2944	5010267
2018	8	29	0.5417	5010268
2018	8	29	0.7187	5010269
2018	8	29	0.1599	5010270
2018	8	29	0.353	5010271
2018	8	29	0.4878	5010272
2018	8	29	0	5010273
2018	8	29	0.1596	5010274
2018	8	29	0	5010275
2018	8	29	0.1065	5010276
2018	8	29	0.1036	5010277
2018	8	29	19.9617	5010278
2018	8	29	1.2215	5010279
2018	8	29	0.5266	5010280
2018	8	29	0.523	5010281
